brand,name,old_price,old_price_cents,new_price,new_price_cents,reviews_rating_number,reviews_amount
QUEBEC,Tênis Sapatênis Casual Couro Urbano Masculino Conforto Liso,124,58,12,21,,
,Tenis Feminino Casual Caminhada Academia Confortavel Macio,98,97,69,28,4.5,(131)
,Tênis Masculino Academia Caminhada Esportivo Original Barato,109,77,65,87,4.7,(346)
FILA,Tênis Masculino Fila Fire Original Treino Academia Running,374,99,271,90,4.8,(74)
,Tênis Feminino Voul Star Pronta Entrega Envio Imediato,99,90,76,90,4.4,(753)
,Combo Kit 2 Tenis Feminino Caminhada Treino Barato+relogio,208,99,125,39,4.6,(1109)
,Tênis Casual Branco Air Fitscarp Masculino Feminino Skatista,99,90,66,60,4.6,(285)
VILI,Tênis Masculino Academia Caminhada Vili Barato Leve Corrida,109,90,10,77,4.5,(2999)
,Tênis Feminino Casual Tons Neutros Retrô Clássico Original,99,90,67,90,4.4,(108)
EVERLAST,Tênis Everlast Crossfit Masculino Cano Baixo Resistente,299,99,194,99,,
GÉNERICO,Kit Tênis Moderno Urbano Confortável Combo Chinelo E Relógio,149,90,119,92,,
PUMA,Puma Karmen L Feminino Adultos,449,90,267,99,4.0,(102)
,Tênis Cano Alto Academia Alks Original,139,90,34,98,4.8,(1353)
,Tenis Casual Air Megstar Forca Masculino Feminino Leve Macio,94,80,56,88,4.6,(287)
SOFT WORKS,Sapato  Enfermagem Tênis  Antiderrapante Mameluko  Softworks,124,90,109,91,4.7,(1964)
MORMAII,Tênis Masculino Skatista Mormaii Urban Original Preto Skate3,212,38,144,90,4.7,(225)
,Sapatenis Tenis Sapato Polo Energy Masculino Original Tecido,78,50,7,70,4.5,(10224)
BEIRA RIO, Tenis Casual Branco Beira Rio Conforto 4205.123,78,06,60,89,4.5,(193)
ALLSTAR,Tênis All Star Cano Alto 25/43  Botinha Unissex,279,99,148,39,4.8,(42)
SOFT WORKS,Tenis Antiderrapante Eva Dentista Veterinario Softworks Bb80,100,80,78,62,4.7,(35)
MIZUNO,Tenis Mizuno Suteki Novo 2024,681,80,68,18,,
OLYMPIKUS,Olympikus Casual Only 2 Sem gênero Adultos,199,99,134,99,4.7,(2275)
FILA,Tênis Masculino Fila Trend,269,99,33,75,,
CONVERSE,Tenis Converse Chuck Taylor All Star Ct00010001 Branco,249,90,31,24,4.6,(66)
,Combo 2 Pares Tênis Masculino Feminino Casual Air Boost,189,90,132,93,4.6,(128)
,Tenis Casual Air Fitscarpa Forca Feminina Leve E Confortável,99,90,59,94,4.6,(1946)
VASTIGRIFF,Tênis Feminino Casual Leve Confortável Original Vastigriff,93,44,69,14,4.5,(610)
VIZZANO,Tênis Casual Branco Feminino Sola Reta Vizzano Confortável,119,99,11,76,4.9,(103)
NEW BALANCE,Tenis Esportivo New U9060 Balanc Sea Salt Oferta Importado,628,04,427,70,5.0,(1)
COLCCI,Tênis Colcci Casual Despojado Versatil Duravel Moderno Chic,399,99,191,99,5.0,(2)
,Kit Tenis Leve Confort + Chinela +cinto Social + Carteira,125,90,119,60,,
NEW SPEED,Tênis New Speed Esporte Masculino 100% Original Caminhada,259,91,215,72,4.5,(74)
,"Sapatênis , Leve De  Zíper Super Conforto",94,90,79,90,4.5,(1119)
ADIDAS,Tênis Ultimashow 2.0 adidas,349,99,223,09,4.8,(377)
,Tênis Masculino Meia Sem Cadarço Preto Leve Calce Fácil Slip,59,90,19,97,4.7,(14)
OLYMPIKUS,Tênis Olympikus Masculino Index 3 Original Confortável,205,90,189,90,4.8,(219)
USAFLEX,Tênis Casual Feminino Ak1003 Cabedal Em Elástano Usaflex,459,99,129,99,5.0,(4)
,Sapatilha Hibrida Aquatica Tenis Antiderrapante Praia Pesca,109,90,65,94,4.7,(347)
HOCKS,Tênis Hocks Pop Lite Skate Original Masculino Feminino,349,90,295,20,4.8,(368)
MOLECA,Tênis Casual Moleca Confortável Moda Feminina,119,48,86,02,5.0,(14)
OLYMPIKUS,Tênis Olympikus Volcan 2 Caminhada Treino Corrida Academia,189,87,18,61,4.9,(52)
OLDSEN,Tenis Masculino Casual Macio Caminhada Treino Oldsen Bmax ,78,99,72,06,4.2,(229)
,Tenis Masculino Da Polo Varias Cores Exclusivo Lançamento ,78,90,71,01,4.5,(5114)
ALGARTE SHOES,Sapatilha Aquática Tênis Praia Piscina Pesca Híbrido As367,78,90,59,17,4.7,(2014)
GIGIL,Tenis Branco Feminino Casual Macio Blogueira Original Gigil,78,99,69,99,4.9,(110)
CLASSIC,Tênis Nike Air Force Xx,206,68,34,45,,
OLYMPIKUS,Tenis Masculino Olympikus Cyber 4 Lançamento,259,90,32,49,4.8,(110)
,Tênis Sneaker Bf Feminino Fitscarpa Plataforma De 6cm Altura,99,90,9,79,4.6,(1706)
SAYMON,Tenis Feminino Original Leve Confortável Olimp Nice Academia,99,90,89,99,4.4,(744)
OLYMPIKUS,Olympikus Only 2 Masculino Adultos,199,99,162,88,4.7,(4754)
,Tênis Vizzano Feminino Branco Casual Confortavel Dia A Dia,168,74,129,99,4.9,(338)
ADIDAS,adidas Grand Court Base 2.0 Feminino Adultos,299,99,259,99,4.9,(285)
OLIMPAK,Tênis Esportivo Masculino Olimpak Para Caminhada Academia,101,51,9,95,4.4,(3642)
PUMA,Tênis Puma Carina Bold Feminino - Preto/branco,449,99,45,,,
VIA MARTE,Tênis Via Marte Cano Baixo Forrado Com Pelos Confortável,254,99,114,74,4.8,(218)
OLP,Kit 2 Pares Tenis Feminino Academia Olymp Olimp Caminhada,149,14,128,56,4.1,(2352)
ASICS,Tênis Asics Sendai Academia Promoção Lançamento Novo Macio,333,33,119,99,,
BF SHOES,Tênis Esportivo Masculino Para Malhar Confortável Lançamento,112,37,75,90,4.5,(2229)
VIZZANO,Tênis Vizzano Casual Feminino Preto,139,99,78,39,5.0,(9)
,Tênis Masculino Academia Caminhada Corrida Training Bylbow,119,90,69,54,4.6,(4194)
,Tenis Feminino E Masculino Casual Boost Leve E Confortável,94,70,67,90,4.4,(1590)
SCHUTZ,Schutz Tênis Smash Preto,440,80,382,28,5.0,(22)
,Tenis Meia Feminino Calce Facil,38,56,23,,4.2,(910)
OLYMPIKUS,Tênis Olympikus Purpura Feminino Verde Limão,269,99,256,49,,
MORMAII,Tênis Mormaii Flexer Casual Masculino Confortável Original,239,90,189,50,5.0,(2)
,Sapatênis Tênis Confortável Masculino De Couro Esporte Fino,119,90,39,97,5.0,(2)
QIX,Tênis Qix Trek Reflexivo Esportivo Branco,423,85,42,39,,
OLYMPIKUS,Olympikus Versa Sem gênero Adultos,238,,34,,4.9,(19)
POLO URBAN,Tênis Feminino Em Couro Legítimo Polo Urban Envio Imediato,136,90,34,22,5.0,(1)
VIZZANO,Tenis Vizzano Feminino Slip On Matelasse Casual Calce Facil,129,65,12,,4.7,(128)
OLYMPIKUS,Tênis Olympikus Masculino Jogging 100 Preto Casual,239,99,34,28,5.0,(1)
FERRACINI,Sapatênis Ferracini 7271-697,299,90,188,93,4.1,(11)
OLYMPIKUS,Tenis Feminino Confortavel Barato Sapatilha Actvitta Lycra,78,99,7,74,4.8,(4)
MORMAII,Tênis Mormaii Urban Wave Casual Confortável Original,162,49,115,99,4.7,(51)
VIZZANO,Tênis Feminino Casual Detalhes Em Dourado Vizzano Original,129,90,12,73,4.7,(3)
WAYKE,Tênis Feminino E Masculino Wayke Confortável Frete Gratis,79,90,62,32,4.5,(620)
VIZZANO,Tênis Básico Feminino Baixinho Macio Vizzano Recortes Casual,229,40,137,47,5.0,(30)
OLYMPIKUS,Tênis Olympikus Marte Masculino Esportivo Corrida Caminhada,280,67,168,40,4.8,(36)
OLYMPIKUS,Tênis Olympikus Fitness Caminhada Day Adultos Original,285,57,171,34,,
OLYMPIKUS,Tênis Esportivo Conforto E Estilo,89,90,29,97,5.0,(3)
BF SHOES,Tênis Feminino Chunky Dad Blogueira Sneaker Buffalo Flatform,99,88,69,90,4.6,(2710)
OLLIE,Tenis Ollie Volt2 Masculino Street Skate Conforto Original,239,99,172,79,,
MOLECA,Tenis Feminino Casual Urbano Original Moleca Lançamento,139,90,64,35,5.0,(21)
,Tênis Casual De Amarrar - Minimalista - Masculino ,107,49,10,,4.7,(87)
RAINHA,Tenis Chuteira Rainha Pro Futsal Salão Quadra Original,109,70,94,90,4.5,(1563)
,Tênis Feminino Esportivo Fitscarpa Para Academia Caminhada,64,90,42,18,4.5,(113)
OLP,Tênis Feminino Olimp Olymp Academia Caminhada Promoção,69,10,62,09,4.2,(6378)
,Sapatênis Tênis Branco Casual Masculino Barato Passeio Festa,39,99,13,33,,
PEGADA,Sapatênis Pegada Masculino Casual Calce Fácil Couro Nobuck,289,90,260,91,5.0,(4)
,Sapatilha Neoprene Aquatica Tenis Hibrido Versátil Top Cb313,75,90,57,68,4.6,(3358)
NEW SPEED,Tênis New Speed Esporte Masculino 100% Original Caminhada,259,91,215,72,4.5,(74)
VIZZANO,Tênis Feminino Casual Sola Alta Flatform Vizzano Original,168,90,129,99,4.7,(26)
,Tenis Casual Knu Skool Black White Preto E Branco Lancamento,267,90,160,74,4.8,(140)
ADIDAS,Tênis Masculino Run 72s 2.0 adidas *oferta*,599,99,343,99,4.8,(66)
FILA,Fila Acd Classic Feminino Adultos,399,86,239,91,4.7,(47)
OLYMPIKUS,Tênis Original Olympikus Qu4dra Br1 Vôlei Lançamento ,499,99,384,99,4.9,(60)
MOLECA,Tênis Casual Moleca Feminino Couro Costura Conforto Estilo,109,48,78,69,4.8,(398)
,Kit Tênis Masculino Esporte Fino Casual + Carteira Relogio,139,90,118,91,4.3,(134)
,Tênis Feminino Ortopédico Caminhada Academia + Relógio,119,90,77,93,4.6,(7313)
,"Sapatênis , Leve De  Zíper Super Conforto",94,90,79,90,4.5,(1119)
,Kit Tenis Leve Confortavel Academia + Fone De Ouvido,125,90,103,23,,
,Tenis Sapatenis Masculino Ortopédico P/ Idoso Palmilha Gel ,114,90,38,30,4.5,(105)
,Tênis Sapatenis Masculino Casual Polo Vili Confortável,105,89,77,29,4.6,(825)
MODARE,Tenis Casual Feminino Ortopedico Modare Massageador Esporão,156,99,117,74,4.9,(73)
NEW BALANCE,New Balance Fresh Foam X 1080 V12 Masculino Adultos,999,90,699,93,5.0,(13)
UNDER ARMOUR,Tênis Masculino Charged Great Under Armour,195,99,19,21,4.8,(842)
ADIDAS,Tênis Ultimashow 2.0 adidas,349,99,223,09,4.8,(377)
OLYMPIKUS,Tênis Olympikus Volcan 2 Caminhada Treino Corrida Academia,189,87,18,61,4.9,(52)
OLYMPIKUS,Olympikus Only 2 Masculino Adultos,199,99,162,88,4.7,(4754)
DEMOCRATA,Sapatenis Democrata Masculino Denim Jake Couro Original,299,95,33,33,4.7,(295)
MORMAII,Tenis Mormaii Urban Fre Original Skate Casual Masc. R203364,259,90,179,94,4.7,(316)
SÓ DANÇA,Tenis Só Dança Dk70 - Preto,359,05,341,11,4.8,(126)
,Tênis Masculino Dia A Dia Sofisticado Brinde Óculos +relógio,110,90,10,87,4.7,(3)
,Tênis Masculino Academia Leve Olimp Confortável Original 23,105,40,89,59,4.4,(11006)
ULTRABONE,Tenis Unissex Academia Ultrabone Gym Prime Vermelho,44,90,4,40,4.7,(6)
MOLECA,Tênis Básico Casual Branco Moleca,77,99,67,07,4.8,(813)
,Tenis Feminino Ortopédico Calce Fácil Caminhada Academia W38,99,80,9,78,4.8,(174)
,Tênis Masculino Esportivo Academia Leve,79,33,26,,4.4,(633)
CONFFORTTOP,Tênis Masculino Corrida Run Academia Sport  Treino Academia,139,90,97,93,,
ALLSTAR,Queimão!! 2 Pares  All Star  Chuck Lona E Courino Taylor,259,99,194,99,4.4,(24)
,Tênis Refletivo V-mx Plus Unissex Esportivo Lançamento,199,90,33,32,4.2,(25)
OLYMPIKUS,Tênis Olympikus Dynamic Masculino Marinho Academia,299,99,33,33,,
,Tenis Sport Future Original Para Correr Treino Mais Vendido,78,98,66,34,4.7,(1680)
SNOW,Sapatilha Pesca Aquática Neoprene  Secagem Rápida Macio ,72,99,51,09,4.6,(358)
STREET WALKER,Kit 3 Sapatênis Masculinos Casual Design Exclusivo Conforto,149,90,124,41,,
ASICS,Tênis Masculino Asics Caminhada Macio Barato 38 Ao 43,333,18,153,64,4.2,(5)
,Sapatenis Masculino Original Nyc Shoes,89,90,8,81,4.4,(21)
TUMS,Tênis Casual Feminino Original Macio Confortável Barato,69,90,23,30,,
VILI,Tenis Branco Feminino Esportivo Vili Olimp Academia Treino,105,40,10,33,4.5,(494)
ASCENSION,Kit 2 Tênis Ortopédico Masculino E Feminino Asc Calce Fácil,189,90,142,42,4.8,(156)
,Tênis Feminino Slip On Calce Fácil Confortável Leve E Macio,79,74,7,,4.4,(96)
ADVENTURE,Bota Adventure Trilha Rapel Couro Legítimo Impermeável,147,99,127,27,4.6,(1617)
SAPATOFRAN,Tênis Masculino Esportivo Academia Kit C/meia Lupo + Relógio,149,90,97,43,4.3,(2946)
VIA MARTE,Tênis Via Marte Knit Meia Sem Cadarço,169,57,16,,,
MODARE,Tênis Feminino Modare Ultraconforto Gel Tech Macio Original,149,99,115,99,4.6,(10)
,Tênis Esportivo It Shoes Amortecedor Gel Masculino,179,90,104,90,4.6,(2068)
,Tenis Masculino Conforto Pronta Entrega 37 Ao 44 Moderno,39,99,3,92,4.0,(907)
DUBUY,Tênis Casual Feminino Solado Alto Branco Original Dubuy,78,90,66,47,4.7,(61)
TENNY WAY, Tenis Botinha Academia Caminhada Confortável 50% Off ,59,90,19,97,4.6,(1394)
STREET WALKER,Tênis Masculino Olymp Olimp Space Caminhada Barato Promoção.,76,50,62,73,,
,Tênis Olympikus Versa Clássico Leve Original,270,40,243,36,4.8,(237)
,Tênis Masculino Olymp Olimp Branco Academia Barato + Relógio,119,90,111,50,4.8,(4)
EVERLAST,Tênis Everlast Forceknit 5 Cinza Preto E Dourado - Masculino,349,99,195,99,,
,Kit 2 Tenis Corrida Masculino Ortopédico Academia+relógio,169,90,16,66,,
EVERLAST,Tênis Adulto Everlast Treino Estiloso Conforto Estabilidade ,499,99,299,99,,
,Sapatilha Neoprene Aquatica Tenis Hibrido Versátil Top Cb313,75,90,57,68,4.6,(3358)
ADIDAS,adidas Break Start Masculino Adultos,349,99,329,99,4.8,(656)
NEW SPEED,Tênis New Speed Esporte Masculino 100% Original Caminhada,259,91,215,72,4.5,(74)
VIZZANO,Tênis Feminino Branco Vizzano Confortável Original Leve,132,90,99,67,4.8,(281)
HOCKS,Tênis Hocks Skate Flat Lite Ginger Bege Camurça Original,323,90,31,67,4.8,(12)
CONVERSE,Tenis Converse All Star Preto Vermelho  Ct00040007 Cano Alto,269,80,33,72,4.9,(338)
,Kit 2 Pares De Tênis Feminino Casual Preto E Branco Conforto,223,90,120,90,5.0,(2)
PRO TORK,Sapatilha Náutica Tênis Híbrido Ciclismo Trilha Jet Standup,117,50,97,52,4.8,(11)
QUIKSILVER,Tenis Quiksilver Masculino Bordado Adulto Skatista ,82,12,8,05,4.4,(45)
,Tênis Feminino Ortopédico Caminhada Academia + Relógio,119,90,77,93,4.6,(7313)
,Kit Tênis Masculino Esporte Fino Casual + Carteira Relogio,139,90,118,91,4.3,(134)
,"Sapatênis , Leve De  Zíper Super Conforto",94,90,79,90,4.5,(1119)
MOLECA,Tênis Sapato Feminino Moleca Casual Lançamento Confortável,99,90,74,92,4.8,(192)
,Tênis Esportivo Dpizar Olimp Olymp Caminhada Envio 24hrs,116,88,89,99,4.5,(2486)
SOFT WORKS,Sapato Enfermagem Fechado Eva Antiderrapante Soft Works Bb81,99,57,9,76,4.9,(27)
ÖUS,Tênis Öus Imigrante Masculino Feminino Skate Unissex,319,90,195,13,,
ULTRABONE,Kit 2 Tênis Feminino Caminhada Ultrabone Leve,159,90,139,11,4.7,(383)
,Kit Tenis Academia Macio Confortavel + Par De Meias Lupo,110,90,95,37,,
OLYMPIKUS,Tênis Olympikus Volcan 2 Caminhada Treino Corrida Academia,189,87,18,61,4.9,(52)
ADIDAS,Tênis Ultimashow 2.0 adidas,349,99,223,09,4.8,(377)
OLDSEN,Tenis Masculino Casual Macio Caminhada Treino Oldsen Bmax ,78,99,72,06,4.2,(229)
PUMA,Puma Caven 2.0 Masculino Adultos,330,27,32,,4.8,(203)
,Sapatênis Masculino Casual Cadarço Couro Ecológico Tênis,69,99,6,86,5.0,(1)
MOLECA,Tênis Feminino Moleca Casual Ultra Conforto Basico Flatform ,109,99,65,99,4.9,(823)
FILA,Fila Float Maxxi 2 Pro Masculino Adultos,899,25,679,92,4.7,(62)
PUMA,Tênis Puma 309668 Shuffle,299,90,33,32,,
OLYMPIKUS,Olympikus Caminhada Atena Feminino Adultos,229,99,168,99,4.6,(521)
MOLEKINHA,Tênis Infantil Calce Fácil Menina Gliter Conforto Original ,78,88,69,41,4.7,(625)
,Sapatilha Aquática Unissex Rio Pesca Praia Neoprene Flexível,78,90,58,38,4.7,(310)
DEMOCRATA,Democrata Tênis Feminino Block Branco,299,90,33,32,4.8,(6)
,Tênis Skatista Casual Masculino Ar-flat  Leve E Confortável,109,90,65,94,4.6,(153)
,Tênis Masculino Academia Leve Confortável Original,69,90,23,30,4.6,(728)
REDLEY,Tenis Redley Ir 10 Originals Summer Original Masculino Femin,219,58,179,60,4.8,(1264)
ACTVITTA,Actvitta Tênis Sapatilha Feminino Sem Cadarço Confortavel,78,95,73,42,4.7,(7)
FILA,Tênis Original Fila Feminino Mulher Adr Casual E Training ,369,99,258,99,4.9,(12)
,Tenis Masculino Academia Sola Alta Moderno Leve Confortável,78,90,7,73,4.7,(20)
ADIDAS,adidas Streetcheck Court Low Feminino Adultos,399,99,269,99,4.7,(589)
FILA,Tênis Fila Street Fit Masculino Urbano Retrô Streetwear,374,99,289,99,4.8,(155)
FILA,Tênis Fila Feminino Progress Lite Original,333,33,194,02,4.9,(58)
EVERLAST,Tênis Everlast Treino Confortável Resistente Pisada Neutra,499,99,299,99,,
PUMA,Tênis Puma Park Lifestyle Bdp Masculino Moda Urbana Casual,449,99,359,99,5.0,(1)
MOLECA,Tênis Moleca Branco Casual Conforto Feminino Original,119,99,71,99,4.7,(688)
PEGADA,Sapatenis Masculino Pgd Pegada Em Couro 100% Original Basic,257,99,193,49,4.8,(95)
USAFLEX,Tênis Feminino Slip Couro Calce Fácil Usaflex - Preto,249,90,149,94,4.5,(30)
,Tenis Feminino Off Star Casual Branco Macio Leve Original,78,99,47,39,4.3,(37)
VILI,Tênis Casual  Masculino Para Dia A Dia Polo Vili Promoção,106,19,78,58,4.5,(1876)
ASICS,Tênis Asics Revelation Original Couro Leve Treino academia,333,90,99,79,,
SOFT WORKS,Tênis Soft Works Bb80 Sapato Hospital Enfermagem Cozinha ,78,90,7,73,4.7,(139)
SANTA LOLLA,Tênis Slip On  Flat Em Couro Santa Lolla,139,90,34,98,4.6,(74)
OLYMPIKUS,Tênis Masculino Olympikus Jogging 101 Confortável Original,215,99,21,17,4.9,(82)
,Tênis Botinha Infantil Menina Cano Alto Glitter Lançamento,78,90,55,23,4.7,(20)
,Tênis Sapatênis Masculino Polo Elegância Casual Com Conforto,159,90,31,98,5.0,(1)
OLYMPIKUS,Tênis Olympikus Vênus 3 Feminino Esporte Corrida Academia,280,67,168,40,4.7,(23)
,Sapatilha Hibrida Aquatica Pesca Antiderrapante Tenis Meia,77,99,64,73,4.6,(1138)
BEIRA RIO,Tenis Beira Rio Conforto Branco Casual Feminino Plataforma,149,95,74,97,5.0,(8)
OLYMPIKUS,Tênis Olympikus Only 2 Casual Clássico Unissex Original,219,99,186,99,,
VIZZANO,Tênis Feminino Vizzano Com Detalhe Em Glitter Branco/prata,169,89,33,98,,
ADIDAS,adidas Grand Court Base 2.0 Feminino Adultos,299,99,259,99,4.9,(285)
,Sapatênis Tênis Slip-on Masculino Bardone Calce Fácil,139,90,107,91,4.7,(2231)
PUMA,Puma Caven 2.0 Bdp Masculino Adultos 396330,399,90,325,50,4.8,(560)
,Tênis Feminino Slip On Calce Fácil Confortável Leve E Macio,79,74,7,,4.3,(22)
,Kit 2 Tênis Casual Masculino Confortável E Estiloso Perfeito,169,90,156,30,4.9,(17)
SOFT WORKS,Tênis Profissional Confortável Soft Works Enfermagem Cozinha,189,90,113,94,4.8,(70)
MOLECA,Tênis Feminino Flatform Sport Turim Branco Moleca,119,90,69,99,4.8,(35)
OLYMPIKUS,Tênis Masculino E Feminino Only 2 Casual Olympikus,156,32,134,99,4.7,(612)
,Tênis Feminino Casual Dia A Dia Conforto Recortes,119,90,71,94,4.8,(5)
ADIDAS,Tênis Feminino Grand Court Base 2.0 Simp adidas *oferta*,345,30,241,99,4.8,(1435)
NIKE,Tênis Nike Revolution 7 Feminino,399,99,319,99,4.7,(781)
MODARE,Tenis Feminino Modare Ultraconforto Gel Tech Casual Macio,78,90,7,73,4.8,(478)
OLDSEN,Tênis Masculino Para Correr Caminhar Colorado Oferta Barato ,78,90,63,12,4.3,(1138)
,Tenis Feminino Casual Sapatenis Branco Leve Confortável Full,69,99,64,99,4.6,(42)
SAPATOFRAN,Tênis Masculino Academia Corrida Caminhada Cross Fit Barato,110,99,96,56,4.5,(32)
PEGADA,Sapatênis Pegada Ultraconforto Em Couro Legítimo Masculino,268,90,33,61,4.8,(345)
SPEEDO,Pé De Pato Speedo Original Nadadeira Dual Swim Fin Training ,373,75,271,59,4.6,(27)
STAR,Combo 2 Pares Tênis Feminino Casual All One Star Sapatênis,139,90,129,90,4.2,(1800)
VIZZANO,Tênis Feminino Casual Vizzano,141,72,106,29,4.7,(332)
,Tenis Sapatenis Masculino Sapato Polo Way Casual Envio Ja ,78,90,7,73,4.6,(1190)
,Sapatilha Aquática Antiderrapante Tênis Praia Híbrido Cb357,78,90,59,17,4.7,(3801)
ESTILO SHOES,Tenis Feminino Casual Sapatenis Feminino Original Promoção ,109,90,78,02,4.6,(1557)
FILA,Tênis Fila Split Masculino Confortável Caminhada Preto Vulkt,337,49,269,99,4.8,(24)
OLYMPIKUS,Tênis Masculino Casual Basico Preto Branco - Olympikus,229,99,149,49,4.7,(774)
,Tenis Feminino Plataforma Slip On Casual Leve Confortável,49,90,37,92,4.3,(126)
OLYMPIKUS,Tênis Olympikus Wellness 2 Masculino Preto,274,99,26,89,,
RAINHA,Tênis Rainha Original + Nota Fiscal Leve Dia A Dia Corrida,164,90,32,98,,
UNDER ARMOUR,Tênis Feminino Under Armour Prompt Corrida Conforto,232,90,33,27,,
VIZZANO,Tênis Vizzano Feminino Flatform Confortável Sola Alta Preto,141,93,99,35,5.0,(1)
OLYMPIKUS,Tênis Olympikus Mood Casual Preto Original,151,80,14,,,
KOLOSH,Tênis Casual Feminino Kolosh Sapatênis Conforto C1296,179,90,17,64,4.9,(710)
MODARE,Sapato Feminino Tênis Ortopédico Esporão E Facite Original,149,99,119,99,4.7,(2080)
SKECHERS,Tênis Skechers Go Run Lite Masculino Corrida - Caminhada,444,33,316,30,4.9,(8)
,Kit 2 Tenis Sapatenis Sapato Way Casual Leve Barato Promoção,76,53,7,50,,
RAMARIM,Tênis Ramarim Feminino Original Chunky Dad Casual Plataforma,269,90,161,94,4.9,(785)
ACTVITTA,Tênis Feminino Calce Facil Casual Slip On Macio Actvitta,159,59,15,,4.6,(11)
ADIDAS,Tênis De Corrida Masculino Duramo Sl 2 Solado Adiwear adidas,386,99,38,70,5.0,(2)
REDLEY,Tênis Redley Originals Translucido,199,90,19,60,,
LANDFEET,Tênis Skate Dia A Dia Cano Alto Embarcadero 2 Original,229,89,22,54,4.7,(683)
ENLEVE,Tênis Feminino Academia Pra Malhar Corrida Caminhada Levinho,78,99,64,77,4.5,(875)
OLYMPIKUS,Tênis Olympikus Jogging Couro 100 - Unissex ,229,99,158,69,4.7,(972)
,Tenis Para Academia Treino Nyc Shoes Adulto Bota Unissex ,119,90,11,75,4.5,(1007)
HARD,"Tênis Masculino Barato, Confortável Macio Anti-derrapante",149,16,125,27,4.5,(2588)
FILA,Fila Racer Comet Masculino Adultos,362,49,260,99,4.6,(130)
,Tênis Feminino Ramarim Tenil Ortopédico Urbano,239,90,119,95,4.5,(35)
POLO PLUS,Tenis Sapatenis Masculino Polo Plus Original Barato Promoção,99,99,69,99,4.6,(193)
OLYMPIKUS,Tênis Casual Masculino Jogging 101 Olympikus,199,99,139,99,4.7,(319)
,Kit Tenis Feminino + Relogio Esportivo Academia Caminhada,106,38,35,46,,
VIZZANO,Tênis Casual Vizzano Feminino Lançamento 1307 - Branco,192,90,115,74,5.0,(17)
,Tênis Coca Cola March Limited Leather Branco,159,90,15,68,,
,Kit Tenis + Relogio Feminino Esportivo Academia Caminhada,108,38,36,13,,
VIZZANO,Tênis Casual Flatform Linho Vizzano Lançamento Conforto 1339,189,95,170,95,4.8,(33)
,Tênis Casual Coca Blend Basic Original,129,90,32,48,,
OLYMPIKUS,Tênis Olympikus Eros Casual Ref:43448165 Masculino,239,88,215,89,,
,Tênis Kidy Feminino Original Urbano Tiras Autocolantes,99,99,9,80,4.7,(96)
,Sapatenis Tenis Sapato Polo Energy Masculino Original Tecido,73,29,69,62,4.5,(2219)
POLOFRAN,Kit 2 Tênis Masculino Polo Fran Sapatênis Chinelo Básico,78,90,7,73,,
NEW SPEED,Tênis New Speed Esporte Masculino 100% Original Caminhada,259,91,215,72,4.5,(74)
,Tênis Vizzano Feminino Branco Casual Confortavel Dia A Dia,168,74,129,99,4.9,(338)
OLYMPIKUS,Olympikus Only 2 Masculino Adultos,199,99,162,88,4.7,(4754)
,Tenis Caminhada Slip On Sapatilha Calce Facil Meia Esportivo,49,99,43,99,4.2,(272)
ASCENSION,Kit  2 Tênis Ortopédico Masculino E Feminino Asc Calce Fácil,169,90,152,91,4.6,(214)
PUMA,Tênis Casual Feminino Carina Lux De Couro Puma *oferta*,399,90,234,99,4.8,(748)
PUMA,Tênis Masculino Caven 2.0 Puma,449,90,325,50,4.8,(569)
,Kit Tenis Masculino Academia + Relógio Digital Led + Meia,169,90,109,90,4.4,(1037)
,Sapatênis Masculino Café Sampaio Shoes 100% Confortável,169,71,99,24,,
LAURUS,Tênis Casual Unissex Sapatênis Confortável Branco Preto,139,30,97,43,4.0,(4)
VIZZANO,Tênis Feminino Casual Vizzano,141,72,106,29,4.7,(332)
FILA,Fila Recovery Masculino Adultos,289,90,28,35,4.7,(1951)
GIGIL,Tenis Feminino Branco Casual Clássico Retrô Original Gigil,78,99,69,99,4.8,(39)
RAMARIM,Tênis Feminino Ramarim 2397123 Plataforma Preto Sola Preta,189,99,31,67,4.5,(222)
,Tênis Casual It Shoes Salto Plataforma Feminino,209,90,114,90,4.6,(477)
,Tênis Feminino Olimp Para Caminhada Academia Esportivo,109,90,78,90,4.3,(106)
,Tênis Design Atemporal Casual Com Qualidade Superior,178,90,35,78,,
VANS,Tênis Vans Authentic Classic - Black/white,299,90,33,32,,
MODARE,Tenis Feminino Modare Ultraconforto Gel Tech Casual Macio,78,90,7,73,4.8,(478)
ADIDAS,adidas Grand Court Base 2.0 Feminino Adultos,299,99,259,99,4.9,(285)
NIKE,Tênis Nike Revolution 7 Feminino,399,99,319,99,4.7,(781)
,Tênis Feminino Olymp Olimp Academia Caminhada Promoção Orig,105,31,87,40,4.3,(897)
ADIDAS,Tênis Feminino Casual Advantage Base 2.0 adidas,299,99,212,99,4.7,(152)
ÖUS,Tênis Öus Imigrante Refletivo Feminino Masculino Unissex,316,66,196,32,4.3,(47)
UNDER ARMOUR,Tênis Under Armour Ua Ch.hit Se Corrida Caminhada Masculino,499,99,314,99,4.8,(49)
,Tênis Esportivo Feminino Amortecedor Gel Academia Caminhada,78,90,72,90,4.5,(2312)
SKECHERS,Tênis Feminino Arch Fit New Beuty Skechers - preto,499,90,299,94,,
